code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DPtDP35j5sp,20251012,1294,9,12.43,8,239,"티셔츠는 단순한 의상을 넘어, 극 중 인물의 성격과 상황을 함축적으로 보여주는 매력적인 아이템입니다. 평범하지 않은 디자인이나 문구는 강렬한 인",145,0,0,0,0,2,개인_기록·일상,IT·기획·창업,0.0,0,0,0,0,0,1
DUaOjEPD9NS,20260206,1085,3,10.38,7,175,"영화 오프닝에서 가장 먼저 마주하게 되는 건 영화사 이름입니다. 익숙하게 지나치기 쉽지만, 가끔은 그 이름이 어떤 계기로 만들어졌는지 궁금해지는",90,0,0,0,0,2,기타,기타,0.57,0,0,0,0,0,0
DQEOR9nj97h,20251021,462,2,4.43,10,662,"이란의 거장 자파르 파나히 감독은 제78회 칸영화제에서 신작 <그저 사고였을 뿐>으로 황금종려상을 수상하였습니다. 이로써 베니스 황금사자상, 베",155,0,0,0,0,9,매체·뉴스,의학·건강,0.3,0,0,0,0,0,0
DPEKOuwj-o7,20250926,406,1,3.88,9,260,"지난 27일, 박찬욱 감독의 신작 〈어쩔수가없다〉가 개봉했습니다. 영화에는 조용필의 〈고추잠자리〉, 김창완의 〈그래 걷자〉, 배따라기의 〈불 좀",143,0,0,0,0,4,유머·짤,기타,0.77,0,0,0,0,0,0
DUITb_IjxQa,20260130,320,6,3.11,7,709,배우는 제작 일정에 따라 때로는 전혀 다른 두 배역을 동시에 오가기도 합니다. 결과물만 놓고 보면 같은 시기에 촬영됐다는 사실이 쉽게 믿기지 않,84,0,0,0,0,10,유머·짤,의학·건강,0.14,0,0,0,0,0,0
DRtv0bSj9Ps,20251201,215,2,2.07,5,749,"<위키드: 포 굿>에서 도로시의 얼굴은 한 번도 화면에 등장하지 않습니다. 그녀는 먼 거리에서 보이거나, 실루엣으로, 또는 뒷모습만 잡히는 제한",153,0,1,0,0,10,기타,기타,0.53,0,0,0,0,0,1
DQ_ix0kD_Xq,20251113,199,10,1.99,12,240,일본 실사 영화 역사상 두 번째로 천만 관객을 동원한 이상일 감독의 〈국보〉는 다음 주 개봉을 앞두고 있습니다. 오랜 기간 기다려온 작품이라 많,99,0,0,0,0,5,기타,기타,1.25,0,1,0,0,0,0
DHQhxPxSe3N,20250316,181,1,1.74,7,44,여러분은 콘클라베의 마지막 장면을 어떻게 해석하셨나요?,30,0,0,0,1,2,기타,기타,2.27,0,0,0,0,0,1
DVbPdvmD0KG,20260303,164,26,1.81,6,27,조금은 TMI일 수 있는 게시물로 인사드립니다☺️,27,0,0,0,0,0,기타,기타,0.0,0,0,0,0,0,0
DSNVeC6D3kr,20251214,163,3,1.58,6,752,니콜 키드먼과 이완 맥그리거가 없는 〈물랑 루즈〉는 쉽게 상상하기 어렵습니다. 그만큼 두 배우의 조합은 영화의 정체성을 완성하는 핵심이었죠. 하,111,0,0,0,0,12,기타,기타,0.4,0,1,0,0,0,0
